pigments,lambda,width,A,B
TChla,434,12,-1.22627541306079,0.77647849333291
TChla,617,12,-2.19917925756432,0.791069316269799
TChla,675,13,-1.69097939174343,0.803830209870587
0.03(TChl b) + 0.07(Chl c),453,16,-0.462880211050737,0.717371280380419
TChlb,470,14,-0.715288531219664,0.67607670685668
TChlb,660,16,-1.27988648850698,0.709887771319585
TChlc,584,13,-1.36820301906994,0.744763823819997
TChlc,638,11,-1.39187571354852,0.735582385196232
PPC,492,11,-1.049464903803,0.887079050006567
PSC,523,10,-1.55995231839408,0.846620145907602
